market_id,market_title,slug,event_slug,category,submarket,outcome,outcome_index,total_bought_usdc,avg_entry_price,resolved_price,realized_pnl_usdc,win
0x352bae670cc9be4d3ee8db733c3b53894752a30db09e23022184a5c22cc02c8f,FC Internazionale Milano vs. FK Bodø/Glimt: O/U 4.5,ucl-int2-bog1-2026-02-24-total-4pt5,ucl-int2-bog1-2026-02-24-more-markets,Soccer,UCL,Under,1,72616.92593,0.636074,1.0,26425.337386,True
0x7b53e3f5fc1a2265fd822022f887a892c536fee2a42636986bcc2831fc8eda6c,Knicks vs. Nuggets: O/U 229.5,nba-nyk-den-2026-03-06-total-229pt5,nba-nyk-den-2026-03-06,NBA,NBA,Over,0,103460.16,0.491117,1.0,25242.859264,True
0x2fb524a8bd4a9274a3347f130e97ec434f882cde9c72c6c39a478df8a037b6bc,Patriots vs. Broncos: O/U 43.5,nfl-ne-den-2026-01-25-total-43pt5,nfl-ne-den-2026-01-25,NFL,NFL,Under,1,50200.224136,0.528191,1.0,23684.917549,True
0xbf7cae33e7c02646f669e4fbeaad57509d9c5e5e5d634f3258cc96e3c07bd09f,Blue Jackets vs. Blues,nhl-cbj-stl-2026-01-31,nhl-cbj-stl-2026-01-31,NHL,NHL,Blue Jackets,0,45202.0478,0.5,1.0,22601.0239,True
0x43d8ca78c702f22ffbc0e529909f2b1f3323f6e73620f294af6e04c8045820b9,NEC vs. FC Volendam: O/U 3.5,ere-nec-vol-2026-03-08-total-3pt5,ere-nec-vol-2026-03-08-more-markets,Soccer,Eredivisie,Under,1,45456.058535,0.51,1.0,22273.468682,True
0x0551a9d00588b083b15694c3e725f40b1d8b7e5e0cbafdb7260c5db1dddd44db,LoL: Movistar KOI vs Karmine Corp - Game 4 Winner,lol-mkoi-kc-2026-02-28-game4,lol-mkoi-kc-2026-02-28,Other,Other,Karmine Corp,1,44581.85,0.508706,1.0,21902.795413,True
0x7268c1ddb386be473a4cdc526812271338a3782b62c292af9d920a3da7d246fc,Nuggets vs. Thunder,nba-den-okc-2026-03-09,nba-den-okc-2026-03-09,NBA,NBA,Thunder,1,49499.99999999999,0.57,1.0,21285.0,True
0x29635b9089e6c26fdb8ac7eb57bfe2ce1e97ebea54ed4b950ba1524e3cc31c8c,Will the San Francisco 49ers win Super Bowl 2026?,will-the-san-francisco-49ers-win-super-bowl-2026,super-bowl-champion-2026-731,Other,Other,Yes,0,1625546.619985,0.018738,0.0,20894.40475,True
0xb9f2a4cbca268e625520e860292b9442765e2782eae762066d27e0abebeecd90,Kings vs. Spurs,nba-sac-sas-2026-02-21,nba-sac-sas-2026-02-21,NBA,NBA,Spurs,1,222222.0,0.91,1.0,19999.98,True
0xcdbd459e0751cff987321e9d2540c4f8787f03f0753c288c4956389d117051f9,Warriors vs. Jazz,nba-gsw-uta-2026-01-28,nba-gsw-uta-2026-01-28,NBA,NBA,Warriors,0,71217.2907,0.7300000000000001,1.0,19082.623889,True
0xef0b57daa506121cbeccb8f0e42de439dc2b64b38eab4a2fa6fc1e06255ac4bd,Will the Houston Texans win Super Bowl 2026?,will-the-houston-texans-win-super-bowl-2026,super-bowl-champion-2026-731,Other,Other,Yes,0,1962755.7007539996,0.019572,0.0,14940.491225999998,True
0x0982d83a9ec2e63a62af868d4e014e8d7eb6ca3cbbdf769b2454038c5b056cd3,Will the Jacksonville Jaguars win Super Bowl 2026?,will-the-jacksonville-jaguars-win-super-bowl-2026,super-bowl-champion-2026-731,Other,Other,Yes,0,1826619.571065,0.0178,0.0,14713.523132000002,True
0x811f0fb6d7c2958d491718f38e7dc356cfcae2a9b5d9b4105e5f25445c455f21,Knicks vs. Bucks,nba-nyk-mil-2026-02-27,nba-nyk-mil-2026-02-27,NBA,NBA,Knicks,0,52114.537064,0.72,1.0,14592.070377,True
0xeac63aba0e4483cad2138aa41401e30363f50c8b583476a774cc895fa4a51d0f,Will the Chicago Bears win Super Bowl 2026?,will-the-chicago-bears-win-super-bowl-2026,super-bowl-champion-2026-731,Other,Other,Yes,0,1783924.984555,0.016302,0.0,14301.867312,True
0x6392ce51d009745e26b9f7428c0bd0d3d91377dee5f6ed80920f0fac08b15e05,Will the Las Vegas Raiders finish with the worst record in the NFL?,will-the-las-vegas-raiders-finish-with-the-worst-record-in-the-nfl-782,nfl-worst-team,Other,NFL,Yes,0,23166.39,0.028542,1.0,12301.448652,True
0x993d373605179556d16fc63844fac83b0c27e8bdc51dc5004d0b5dbd096bdce6,Will the Saints hire Kellen Moore as their next head coach?,will-the-saints-hire-person-b-as-their-next-head-coach,next-saints-head-coach-24-25,Other,Other,Yes,0,11783.0,0.071299,1.0,10942.883883,True
